iter	RMSE
0	8.996856137
1	8.836568006
2	8.714226868
3	8.594454288
4	8.474918431
5	8.353177617
6	8.242424294
7	8.129957199
8	8.009483686
9	7.895060507
10	7.786504511
11	7.674829749
12	7.549958695
13	7.438605546
14	7.316676484
15	7.230194551
16	7.142833996
17	7.052523893
18	6.967131903
19	6.884833776
20	6.792278789
21	6.697449076
22	6.61284848
23	6.536931276
24	6.461118002
25	6.376316241
26	6.291994662
27	6.219689345
28	6.153863366
29	6.086270661
30	6.017468666
31	5.938062168
32	5.87835061
33	5.81671803
34	5.745640263
35	5.681319548
36	5.622922768
37	5.568648269
38	5.491034156
39	5.426945617
40	5.367487855
41	5.312428788
42	5.253592231
43	5.217185362
44	5.153885686
45	5.120325447
46	5.065024214
47	4.999668615
48	4.948065222
49	4.901666921
50	4.854500859
51	4.809789145
52	4.760820972
53	4.707901374
54	4.681773967
55	4.631990567
56	4.586391803
57	4.565165213
58	4.516948059
59	4.472479636
60	4.419586838
61	4.375803462
62	4.338659424
63	4.301583836
64	4.262693753
65	4.217576093
66	4.176744216
67	4.148778068
68	4.112770597
69	4.08911492
70	4.054685499
71	4.018938295
72	3.996147194
73	3.965438979
74	3.935588047
75	3.908766288
76	3.883681188
77	3.853624074
78	3.831471746
79	3.798914099
80	3.770783166
81	3.74029944
82	3.723839507
83	3.690099385
84	3.662793462
85	3.634293276
86	3.609694557
87	3.59015694
88	3.569593856
89	3.544141491
90	3.522529842
91	3.494292122
92	3.461435573
93	3.439234051
94	3.414355376
95	3.395038417
96	3.378119498
97	3.356128473
98	3.334759998
99	3.31086461
100	3.287279954
101	3.267410915
102	3.2474607
103	3.229263377
104	3.206691291
105	3.1913919
106	3.170780014
107	3.148524856
108	3.131877611
109	3.114953323
110	3.102392876
111	3.07871204
112	3.071102579
113	3.048776098
114	3.028399661
115	3.0086329
116	2.993445807
117	2.97856523
118	2.960612734
119	2.94511942
120	2.931454266
121	2.91582179
122	2.895561882
123	2.875645848
124	2.865590922
125	2.852078785
126	2.838506458
127	2.819286234
128	2.805460568
129	2.78985653
130	2.772397537
131	2.7563164
132	2.73873022
133	2.729130781
134	2.714629453
135	2.703362262
136	2.698779305
137	2.685984903
138	2.674682036
139	2.662377843
140	2.649081669
141	2.634724478
142	2.625064736
143	2.613452453
144	2.601997918
145	2.590525776
146	2.582542252
147	2.569380389
148	2.560559139
149	2.549171494
150	2.535629781
151	2.527084561
152	2.517688292
