iter	Passed	Remaining
0	21	21188
1	40	20163
2	77	25844
3	96	23951
4	116	23198
5	132	21992
6	148	21043
7	159	19802
8	168	18590
9	178	17663
10	185	16681
11	197	16241
12	206	15674
13	214	15120
14	222	14601
15	230	14197
16	247	14286
17	254	13893
18	274	14187
19	284	13942
20	299	13939
21	306	13631
22	313	13321
23	322	13114
24	331	12942
25	339	12716
26	347	12517
27	365	12673
28	373	12520
29	381	12321
30	390	12211
31	399	12076
32	408	11974
33	418	11903
34	431	11896
35	444	11895
36	454	11837
37	474	12005
38	484	11929
39	496	11922
40	507	11859
41	518	11815
42	530	11814
43	540	11734
44	553	11745
45	567	11763
46	576	11696
47	592	11744
48	604	11730
49	620	11795
50	632	11761
51	644	11756
52	669	11969
53	685	12009
54	699	12023
55	712	12015
56	726	12012
57	739	12013
58	753	12017
59	767	12025
60	780	12015
61	796	12043
62	808	12028
63	821	12015
64	834	12006
65	847	11999
66	867	12084
67	879	12049
68	891	12033
69	905	12031
70	918	12020
71	928	11964
72	939	11929
73	952	11919
74	966	11916
75	982	11945
76	995	11935
77	1009	11927
78	1105	12892
79	1129	12986
80	1149	13040
81	1170	13101
82	1182	13065
83	1198	13067
84	1220	13141
85	1234	13117
86	1248	13104
87	1275	13217
88	1301	13322
89	1317	13323
90	1331	13300
91	1384	13660
92	1439	14038
93	1473	14204
94	1488	14180
95	1511	14236
96	1529	14234
97	1559	14350
98	1577	14353
99	1597	14379
100	1624	14461
101	1650	14531
102	1668	14526
103	1689	14555
104	1705	14534
105	1742	14694
106	1759	14687
107	1774	14653
108	1791	14645
109	1808	14633
110	1826	14627
111	1839	14584
112	1857	14581
113	1875	14576
114	1893	14572
115	1911	14563
116	1927	14547
117	1943	14526
118	1960	14515
119	1980	14527
120	1992	14477
121	2010	14470
122	2025	14445
123	2046	14459
124	2058	14409
125	2071	14368
126	2086	14343
127	2100	14310
128	2113	14270
129	2132	14272
130	2146	14240
131	2157	14186
132	2167	14129
133	2182	14103
134	2197	14077
135	2211	14048
136	2229	14045
137	2246	14032
138	2258	13991
139	2278	13998
140	2301	14018
141	2316	13994
142	2328	13954
143	2338	13898
144	2346	13838
145	2356	13782
146	2365	13724
147	2373	13665
148	2382	13608
149	2392	13558
150	2402	13508
151	2415	13475
152	2425	13427
153	2435	13379
154	2446	13335
155	2457	13297
156	2466	13245
157	2476	13197
158	2488	13163
159	2498	13118
160	2511	13088
161	2520	13040
162	2530	12993
163	2540	12948
164	2549	12900
165	2558	12852
166	2569	12817
